2016/01/01 18:02:57 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:02:57 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 18:02:57 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:03:48 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:03:48 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 18:03:48 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:03:49 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:03:49 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 18:03:49 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:03:49 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:03:49 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 18:03:49 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
