20/01/2016 13:51:02 , Message : File System Filter 'MBAMProtector' (6.1, ?2014?-?09?-?03T23:20, Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 6, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SOFTWARE_AND_SERVICES_INSTALLATION
20/01/2016 13:51:02 , Message : File System Filter 'luafv' (6.1, ?2009?-?07?-?14T04:56, Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 6, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SOFTWARE_AND_SERVICES_INSTALLATION
20/01/2016 13:51:02 , Message : File System Filter 'MBAMProtector' (6.1, ?2014?-?09?-?03T23:20, Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 6, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SOFTWARE_AND_SERVICES_INSTALLATION
20/01/2016 13:51:02 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:02 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:02 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:04 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:04 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:04 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:06 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:08 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:12 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:16 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : 0, Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\winlogon.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:25 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:26 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : -, Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:41 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : -, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : -, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : SUCCESS_LOGIN
20/01/2016 13:51:04 , Message : A handle to an object was requested., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4656, S_Account Name : DREAM-76$, Object Name : PlugPlaySecurityObject, Object Type : Security, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : Unknown specific access (bit 1), Access Reason : -, Privilege for Access Check : -, Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : Special privileges assigned to new logon., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4672, S_Account Name : LOCAL SERVICE, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : A new process has been created., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4688, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : A handle to an object was requested., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4656, S_Account Name : DREAM-76$, Object Name : PlugPlaySecurityObject, Object Type : Security, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : Unknown specific access (bit 1), Access Reason : -, Privilege for Access Check : -, Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4624, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : Special privileges assigned to new logon., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4672, S_Account Name : SYSTEM, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : A new process has been created., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4688, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 13:51:04 , Message : A new process has been created., Level : Information, MAC : 00:E0:4C:68:04:3E, Device : DREAM-76, Process Id : , Thread Id : , Computer : Dream-76, Event Id : 4688, S_Account Name : DREAM-76$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
